Date: 16.11.2025
"0x2c9023bbc572ff8dc1228c7858a280046ea8c9e5: 2"
"0x2cb84df2b7d1b4bd66f523fc43c0bf79edbf66c7: 2"
"0x300c1fedab951d44681851b8c613293a2d00801e: 2"
"0x2cd3965fb18831030bf325f0ba0ff827113b94d2: 2"
"0x2feb105fbb4c922597b125c56822b3db7351b55d: 2"
"0x23d80c4ee8fb55d4183dd9329296e176dc7464e1: 2"
"0x1fee5588cb1de19c70b6ad5399152d8c643fae7b: 2"
"0x1a3496c18d558bd9c6c8f609e1b129f67ab08163: 2"
"0x150b0b96933b75ce27af8b92441f8fb683bf9739: 2"
"0x1a6658f40e51b372e593b7d2144c1402d5cf33e8: 2"
"0x1492e7db29f5a79f47ea73ed6081f57bc553dec5: 2"
"0x115ec79f1de567ec68b7ae7eda501b406626478e: 2"
"0x0cf0ee63788a0849fe5297f3407f701e122cc023: 2"
"0x0f46eba0bafe2739d9f3c43a48bb84bee1f6644f: 2"
"0x12b19d3e2ccc14da04fae33e63652ce469b3f2fd: 2"
"0x107c4504cd79c5d2696ea0030a8dd4e92601b82e: 2"
"0x0947b0e6d821378805c9598291385ce7c791a6b2: 2"
"0x0b9a61648331d3bf850182626db85281b8043126: 2"
"0x07f9702ce093db82dfdc92c2c6e578d6ea8d5e22: 2"
"0x08389495d7456e1951ddf7c3a1314a4bfb646d8b: 2"
"0x0affa06e7fbe5bc9a764c979aa66e8256a631f02: 2"
"0x0157da8f5833d11c9a95a026d99e2b7cbc11880d: 2"
"0x0407b4c4eaed35ce3c5b852bdfa1640b09eeedf4: 2"
"0x0411b4652f6087d02f633119043e6199841e37eb: 2"
"0x050d94685c6b0477e1fc555888af6e2bb8dfbda5: 2"
"0xe3b4f3c7993baadaf36cdeaea047307bd53ebbbd: 1"
"0xf5b15fefa638849294db2a836433eca4f7429f6f: 1"
"0xe67f943af5eb6051ef56f05979cc30b732717fa6: 1"
"0xdabc93ae0845478f8ff0970e11d36933d5342748: 1"
"0xea26c4ac16d4a5a106820bc8aee85fd0b7b2b664: 1"
"0xff583f9c298fda98a664315fad45b2d5b8685b8a: 1"
"0xf920e4f3fbef5b3ad0a25017514b769bdc4ac135: 1"
"0xdfbc9050f5b01df53512dcc39b4f2b2bbacd517a: 1"
"0xf0bc1ae4ef7ffb126a8347d06ac6f8add770e1ce: 1"
"0xf34ee2ad4d4770de80b885ed5853ac52f4e93c07: 1"
"0xf28463c616bd7b14287b0a4a950d35324f2d7280: 1"
"0xf9d8fdd263f3f11018c7e6846b8a338f5e170c32: 1"
